date,blood_group,donation_supply,day_of_week,month,time_idx,estimated_demand
2020-11-08,A+,40,6,11,0,46.0
2020-11-08,A-,7,6,11,0,8.88
2020-11-08,AB+,6,6,11,0,7.48
2020-11-08,AB-,2,6,11,0,2.89
2020-11-08,B+,66,6,11,0,73.81
2020-11-08,B-,8,6,11,0,9.88
2020-11-08,O+,66,6,11,0,73.99
2020-11-08,O-,10,6,11,0,12.18
2020-11-09,A+,0,0,11,1,23.13
2020-11-09,A-,0,0,11,1,4.94
2020-11-09,AB+,0,0,11,1,4.37
2020-11-09,AB-,0,0,11,1,1.7
2020-11-09,B+,0,0,11,1,36.84
2020-11-09,B-,0,0,11,1,4.47
2020-11-09,O+,0,0,11,1,36.3
2020-11-09,O-,0,0,11,1,5.5
2020-11-10,A+,0,1,11,2,14.67
2020-11-10,A-,0,1,11,2,2.57
2020-11-10,AB+,0,1,11,2,2.2
2020-11-10,AB-,0,1,11,2,0.73
2020-11-10,B+,0,1,11,2,24.2
2020-11-10,B-,0,1,11,2,2.93
2020-11-10,O+,0,1,11,2,24.2
2020-11-10,O-,0,1,11,2,3.67
2020-11-11,A+,0,2,11,3,11.0
2020-11-11,A-,0,2,11,3,1.93
2020-11-11,AB+,0,2,11,3,1.65
2020-11-11,AB-,0,2,11,3,0.55
2020-11-11,B+,0,2,11,3,18.15
2020-11-11,B-,0,2,11,3,2.2
2020-11-11,O+,0,2,11,3,18.15
2020-11-11,O-,0,2,11,3,2.75
2020-11-12,A+,0,3,11,4,8.8
2020-11-12,A-,0,3,11,4,1.54
2020-11-12,AB+,0,3,11,4,1.32
2020-11-12,AB-,0,3,11,4,0.44
2020-11-12,B+,0,3,11,4,14.52
2020-11-12,B-,0,3,11,4,1.76
2020-11-12,O+,0,3,11,4,14.52
2020-11-12,O-,0,3,11,4,2.2
2020-11-13,A+,0,4,11,5,7.33
2020-11-13,A-,0,4,11,5,1.28
2020-11-13,AB+,0,4,11,5,1.1
2020-11-13,AB-,0,4,11,5,0.37
2020-11-13,B+,0,4,11,5,12.1
2020-11-13,B-,0,4,11,5,1.47
2020-11-13,O+,0,4,11,5,12.1
2020-11-13,O-,1,4,11,5,2.02
2020-11-14,A+,0,5,11,6,6.29
2020-11-14,A-,0,5,11,6,1.11
2020-11-14,AB+,0,5,11,6,0.95
2020-11-14,AB-,0,5,11,6,0.32
2020-11-14,B+,0,5,11,6,10.38
2020-11-14,B-,0,5,11,6,1.26
2020-11-14,O+,0,5,11,6,10.37
2020-11-14,O-,0,5,11,6,1.73
2020-11-15,A+,1,6,11,7,5.64
2020-11-15,A-,0,6,11,7,0.97
2020-11-15,AB+,0,6,11,7,0.83
2020-11-15,AB-,0,6,11,7,0.28
2020-11-15,B+,0,6,11,7,9.08
2020-11-15,B-,0,6,11,7,1.11
2020-11-15,O+,0,6,11,7,9.08
2020-11-15,O-,0,6,11,7,1.51
2020-11-16,A+,0,0,11,8,5.01
2020-11-16,A-,0,0,11,8,0.86
2020-11-16,AB+,0,0,11,8,0.73
2020-11-16,AB-,0,0,11,8,0.24
2020-11-16,B+,1,0,11,8,8.2
2020-11-16,B-,0,0,11,8,0.98
2020-11-16,O+,0,0,11,8,8.07
2020-11-16,O-,0,0,11,8,1.35
2020-11-17,A+,0,1,11,9,4.52
2020-11-17,A-,0,1,11,9,0.78
2020-11-17,AB+,0,1,11,9,0.67
2020-11-17,AB-,0,1,11,9,0.22
2020-11-17,B+,0,1,11,9,7.37
2020-11-17,B-,0,1,11,9,0.88
2020-11-17,O+,0,1,11,9,7.26
2020-11-17,O-,0,1,11,9,1.21
2020-11-18,A+,0,2,11,10,4.1
2020-11-18,A-,0,2,11,10,0.7
2020-11-18,AB+,0,2,11,10,0.6
2020-11-18,AB-,0,2,11,10,0.2
2020-11-18,B+,0,2,11,10,6.7
2020-11-18,B-,0,2,11,10,0.8
2020-11-18,O+,0,2,11,10,6.6
2020-11-18,O-,0,2,11,10,1.1
2020-11-19,A+,0,3,11,11,3.76
2020-11-19,A-,0,3,11,11,0.64
2020-11-19,AB+,0,3,11,11,0.55
2020-11-19,AB-,0,3,11,11,0.18
2020-11-19,B+,0,3,11,11,6.14
2020-11-19,B-,0,3,11,11,0.73
2020-11-19,O+,0,3,11,11,6.05
2020-11-19,O-,0,3,11,11,1.01
2020-11-20,A+,0,4,11,12,3.47
2020-11-20,A-,0,4,11,12,0.59
2020-11-20,AB+,0,4,11,12,0.51
2020-11-20,AB-,0,4,11,12,0.17
2020-11-20,B+,0,4,11,12,5.67
2020-11-20,B-,0,4,11,12,0.68
2020-11-20,O+,0,4,11,12,5.58
2020-11-20,O-,0,4,11,12,0.93
2020-11-21,A+,0,5,11,13,3.22
2020-11-21,A-,0,5,11,13,0.55
2020-11-21,AB+,0,5,11,13,0.47
2020-11-21,AB-,0,5,11,13,0.16
2020-11-21,B+,0,5,11,13,5.26
2020-11-21,B-,0,5,11,13,0.63
2020-11-21,O+,0,5,11,13,5.19
2020-11-21,O-,0,5,11,13,0.86
2020-11-22,A+,0,6,11,14,0.08
2020-11-22,A-,0,6,11,14,0.0
2020-11-22,AB+,0,6,11,14,0.0
2020-11-22,AB-,0,6,11,14,0.0
2020-11-22,B+,0,6,11,14,0.08
2020-11-22,B-,0,6,11,14,0.0
2020-11-22,O+,0,6,11,14,0.0
2020-11-22,O-,0,6,11,14,0.08
2020-11-23,A+,1,0,11,15,0.16
2020-11-23,A-,0,0,11,15,0.01
2020-11-23,AB+,0,0,11,15,0.01
2020-11-23,AB-,0,0,11,15,0.01
2020-11-23,B+,0,0,11,15,0.09
2020-11-23,B-,0,0,11,15,0.01
2020-11-23,O+,0,0,11,15,0.01
2020-11-23,O-,0,0,11,15,0.08
2020-11-24,A+,0,1,11,16,0.16
2020-11-24,A-,0,1,11,16,0.0
2020-11-24,AB+,0,1,11,16,0.0
2020-11-24,AB-,0,1,11,16,0.0
2020-11-24,B+,0,1,11,16,0.08
2020-11-24,B-,0,1,11,16,0.0
2020-11-24,O+,0,1,11,16,0.0
